operation,amount,time
sqrt,100000000,18782
pow,100000000,1362306
sin,100000000,483203
tan,100000000,477102
concat,100000000,22168
equals,100000000,12715
not equals,100000000,22433
addition,100000000,22105
substraction,100000000,35504
division,100000000,11676
multiplication,100000000,12716
greater than,100000000,14943
smaller than,100000000,16787
sqrt,100000000,19098
pow,100000000,1344941
sin,100000000,477729
tan,100000000,476441
concat,100000000,13903
equals,100000000,12734
not equals,100000000,20670
addition,100000000,21262
substraction,100000000,40207
division,100000000,11676
multiplication,100000000,13626
greater than,100000000,19273
smaller than,100000000,22108
sqrt,100000000,18692
pow,100000000,1337217
sin,100000000,479533
tan,100000000,488798
concat,100000000,16600
equals,100000000,13203
not equals,100000000,12204
addition,100000000,13165
substraction,100000000,27277
division,100000000,15126
multiplication,100000000,12790
greater than,100000000,17780
smaller than,100000000,17580
sqrt,100000000,13623
pow,100000000,1373847
sin,100000000,485098
tan,100000000,478725
concat,100000000,20061
equals,100000000,12765
not equals,100000000,16149
addition,100000000,18428
substraction,100000000,37304
division,100000000,11970
multiplication,100000000,12773
greater than,100000000,13808
smaller than,100000000,16613
sqrt,100000000,21972
pow,100000000,1358421
sin,100000000,494371
tan,100000000,489119
concat,100000000,19515
equals,100000000,13254
not equals,100000000,17710
addition,100000000,18049
substraction,100000000,11957
division,100000000,13816
multiplication,100000000,13664
greater than,100000000,16217
smaller than,100000000,19908
sqrt,100000000,14312
pow,100000000,1367387
sin,100000000,504316
tan,100000000,484843
concat,100000000,15202
equals,100000000,15103
not equals,100000000,22499
addition,100000000,18608
substraction,100000000,27090
division,100000000,13201
multiplication,100000000,13481
greater than,100000000,19623
smaller than,100000000,19301
sqrt,100000000,11540
pow,100000000,1382262
sin,100000000,488900
tan,100000000,487575
concat,100000000,12923
equals,100000000,14028
not equals,100000000,18119
addition,100000000,22002
substraction,100000000,34761
division,100000000,12228
multiplication,100000000,13027
greater than,100000000,13904
smaller than,100000000,13911
sqrt,100000000,12848
pow,100000000,1408271
sin,100000000,518685
tan,100000000,494293
concat,100000000,18073
equals,100000000,13046
not equals,100000000,14835
addition,100000000,15682
substraction,100000000,21742
division,100000000,14222
multiplication,100000000,15323
greater than,100000000,18345
smaller than,100000000,20730
sqrt,100000000,20644
pow,100000000,1379199
sin,100000000,480934
tan,100000000,498589
concat,100000000,11739
equals,100000000,13246
not equals,100000000,14315
